section,cognizable,bailable,court,unambiguous,raw_cognizable,raw_bailable,raw_court,offence
209,,,,no,C o g n i z able. C o g n i z able. Non- cognizable. N on- cognizable. Non- cogn,Non-bailable. Non-bailable. Bailable. Bailable. Bailable. Bailable. Bailable. Ba,Magistrate of the first class. Magistrate of the first class. The Court in which,Non-appearance in response to a proclamation under section 84 of this Sanhita. In a case where declaration has been made
213,Non-cognizable,Bailable,,yes,Non- cognizable.,"Bailable. The the committed, to Chapter or, committed, Court, Magistrate.",Court in which offence is subject the provisions of XXVIII; if not in a any,Refusing oath when duly required to take oath by a public servant.
214,Non-cognizable,Bailable,,yes,Non- cognizable.,"Bailable. The the committed, to Chapter or, committed, Court, Magistrate.",Court in which offence is subject the provisions of XXVIII; if not in a any,"Being legally bound to state truth, and refusing to answer public servant authorised to question."
215,Non-cognizable,Bailable,,yes,Non- cognizable.,"Bailable. The the committed, to Chapter or, committed, Court, Magistrate.",Court in which offence is subject the provisions of XXVIII; if not in a any,Refusing to sign a statement made to a public servant when legally required to do so.
216,Non-cognizable,Bailable,,yes,N o n - cognizable.,Bailable. Magistrate first,of the class.,Knowingly stating to a public servant on oath as true that which is false.
217,Non-cognizable,Bailable,,yes,N o n - cognizable.,Bailable. Any,Magistrate.,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of
218,Non-cognizable,Bailable,,yes,N o n - cognizable.,Bailable. Any,Magistrate.,Resistance to the taking of property by the lawful authority of a public servant.
219,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Obstructing sale of property offered for sale by authority of a public servant.
220,Non-cognizable,Bailable,Any Magistrate,yes,N o n- cognizable.,Bailable.,Any Magistrate.,Illegal purchase or bid for property offered for sale by authority of public servant.
221,,Bailable,Any Magistrate,no,N on- cognizable. Non- cognizable. Non- cognizable. Cognizable. C o g nizable.,Bailable. Bailable. Bailable. Bailable. Bailable.,Any Magistrate. Any Magistrate. Any Magistrate. Any Magistrate. Any Magistrate.,Obstructing public servant in discharge of his public functions. Omission to assist public servant when bound by law to 
224,Non-cognizable,Bailable,Any Magistrate,yes,N o n- cognizable.,Bailable.,Any Magistrate.,"Threat of injury to public servant, etc."
225,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Threat of injury to induce person to refrain from applying for protection to public servant.
226,Non-cognizable,Bailable,Any Magistrate,yes,N o n- cognizable.,Bailable.,Any Magistrate.,Attempt to commit suicide to compel or restraint exercise of lawful power.
229,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n - cognizable.,Bailable.,Magistrate of the first class.,Intentionally giving or fabricating false evidence in a judicial proceeding.
230,Non-cognizable,Non-bailable,Court of Session,yes,Non- cognizable.,Non-bailable.,Court of Session.,Giving or fabricating false evidence with intent to cause any person to be convicted of capital offence.
231,Non-cognizable,Non-bailable,Court of Session,yes,Non- cognizable.,Non-bailable.,Court of Session.,Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for li
232,Cognizable,Non-bailable,,yes,C o g n izable.,Non-bailable.,Court by which offence of giving false evidence is triable.,Threatening any person to give false evidence.
233,Non-cognizable,Bailable,,yes,Non- cognizable.,According as offence of giving such evidence is bailable or non-triable. bailabl,Court by which offence of giving or fabricating false evidence is,Using in a judicial proceeding evidence known to be false or fabricated.
234,Non-cognizable,Bailable,,yes,Non- cognizable.,Bailable.,Court by which offence of giving false evidence is triable.,Knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in 
235,Non-cognizable,Bailable,,yes,Non- cognizable.,Bailable.,Court by which offence of giving false evidence is triable.,Using as a true certificate one known to be false in a material point.
236,Non-cognizable,Bailable,,yes,Non- cognizable.,Bailable.,Court by which offence of giving false evidence is triable.,False statement made in any declaration which is by law receivable as evidence.
237,Non-cognizable,Bailable,,yes,Non- cognizable. A c c o r ding as the offence in relation to which disappearanc,Bailable. Bailable. Bailable. Bailable.,Court by which offence of giving false evidence is triable. Court of Session. Ma,"Using as true any such declaration known to be false. Causing disappearance of evidence of an offence committed, or givi"
239,Non-cognizable,Bailable,Any Magistrate,yes,N on- cognizable.,Bailable.,Any Magistrate.,Intentional omission to give information of an offence by a person legally bound to inform.
240,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Giving false information respecting an offence committed.
241,Non-cognizable,Bailable,Magistrate of the first class,yes,N on- cognizable.,Bailable.,Magistrate of the first class.,Secreting or destroying any document to prevent its production as evidence.
242,Non-cognizable,Bailable,Magistrate of the first class,yes,N on- cognizable.,Bailable.,Magistrate of the first class.,"False personation for the purpose of any act or proceeding in a suit or criminal prosecution, or for becoming bail or se"
243,Non-cognizable,Bailable,Any Magistrate,yes,N on- cognizable.,Bailable.,Any Magistrate.,"Fraudulent removal or concealment, etc., of property to prevent its seizure as a forfeiture or in satisfaction of a fine"
244,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,"Claiming property without right, or practising deception touching any right to it, to prevent its being taken as a forfe"
245,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n - cognizable.,Bailable.,Magistrate of the first class.,"Fraudulently suffering a decree to pass for a sum not due, or suffering decree to be executed after it has been satisfie"
246,Non-cognizable,Bailable,Magistrate of the first class,yes,N on- cognizable.,Bailable.,Magistrate of the first class.,False claim in a Court.
247,,Bailable,,no,N o n - cognizable. N o n - c o g n izable. N o n - cognizable. C o g n i zable.,Bailable. Bailable. Bailable. Bailable. Bailable. Bailable. Bailable. Bailable. ,Magistrate of the first class. Magistrate of the first class. Court of Session. ,"Fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied. False"
252,Cognizable,Bailable,Magistrate of the first class,yes,C o g n izable. C ognizable. C o g n i zable. Cognizable.,Bailable. Bailable. Bailable. Bailable.,Magistrate of the first class. Magistrate of the first class. Magistrate of the ,Taking gift to help to recover movable property of which a person has been deprived by an offence without causing appreh
254,Cognizable,Bailable,Magistrate of the first class,yes,Cognizable.,Bailable.,Magistrate of the first class.,Harbouring robbers or dacoits.
255,Non-cognizable,Bailable,Any Magistrate,yes,N on- cognizable.,Bailable.,Any Magistrate.,"Public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture."
256,Cognizable,Bailable,Magistrate of the first class,yes,C o g nizable.,Bailable.,Magistrate of the first class.,"Public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfe"
257,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n- cognizable.,Bailable.,Magistrate of the first class.,"Public servant in a judicial proceeding corruptly making and pronouncing an order, report, etc. contrary to law."
258,,,,no,N o n - cognizable. A c c o r d i ng as the offence in relation to which such om,Bailable. Bailable. Bailable. Bailable. Non-bailable. Non-bailable. Bailable.,Magistrate of the first class. Magistrate of the first class. Magistrate of the ,"Commitment for trial or confinement by a person having authority, who knows that he is acting contrary to law. Intention"
261,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,Escape from confinement negligently suffered by a public servant.
262,Cognizable,,,no,C o g n izable. C o g nizable. C o gnizable. C o gnizable. C ognizable. Cognizab,Bailable. Bailable. Non-bailable. Non-bailable. Non-bailable. Non-bailable.,Any Magistrate. Any Magistrate. Magistrate of the first class. Magistrate of the,Resistance or obstruction by a person to his lawful apprehension. Resistance or obstruction to the lawful apprehension o
264,Non-cognizable,Bailable,,yes,N o n - cognizable. Non- cognizable.,Bailable. Bailable.,Magistrate of the first class. Any Magistrate.,"Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for:-- (a) in "
265,Cognizable,Bailable,Any Magistrate,yes,C o g n izable.,Bailable.,Any Magistrate.,"Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for."
266,Cognizable,Non-bailable,,yes,Cognizable.,Non-bailable.,The Court by which the original offence was triable.,Violation of condition of remission of punishment.
267,Non-cognizable,Bailable,,yes,Non- cognizable.,Bailable.,"The Court in which the offence is committed, subject to the provisions of Chapte",Intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding.
268,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n - cognizable.,Bailable.,Magistrate of the first class.,Personation of an assessor.
269,Cognizable,Non-bailable,Any Magistrate,yes,C o g nizable.,Non-bailable.,Any Magistrate.,Failure by person released on bond or bail bond to appear in Court.
271,Cognizable,Bailable,Any Magistrate,yes,C o g n izable.,Bailable.,Any Magistrate.,Negligently doing any act known to be likely to spread infection of any disease dangerous to life.
272,Cognizable,Bailable,Any Magistrate,yes,C o g n izable.,Bailable.,Any Magistrate.,Malignantly doing any act known to be likely to spread infection of any disease dangerous to life.
273,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Knowingly disobeying any quarantine rule.
274,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,"Adulterating food or drink intended for sale, so as to make the same noxious."
275,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,"Selling any food or drink as food and drink, knowing the same to be noxious."
276,Non-cognizable,Non-bailable,Any Magistrate,yes,N o n - cognizable.,Non-bailable.,Any Magistrate.,"Adulterating any drug or medical preparation intended for sale so as to lessen its efficacy, or to change its operation,"
277,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Sale of adulterated drugs.
278,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Knowingly selling of drug as a different drug or preparation.
279,Cognizable,Bailable,Any Magistrate,yes,C o g n i zable.,Bailable.,Any Magistrate.,Fouling water of public spring or reservoir.
280,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,Making atmosphere noxious to health.
281,Cognizable,Bailable,Any Magistrate,yes,C o g n izable.,Bailable.,Any Magistrate.,Rash driving or riding on a public way.
282,Cognizable,Bailable,Any Magistrate,yes,C o g n izable.,Bailable.,Any Magistrate.,Rash navigation of vessel.
283,Cognizable,Bailable,Magistrate of the first class,yes,C o g n izable.,Bailable.,Magistrate of the first class.,"Exhibition of a false light, mark or buoy."
284,Cognizable,Bailable,Any Magistrate,yes,C o g n i z able.,Bailable.,Any Magistrate.,Conveying person by water for hire in unsafe or overloaded vessel.
285,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,Causing danger or obstruction in public way or line of navigation.
286,Cognizable,Bailable,Any Magistrate,yes,C o g n izable.,Bailable.,Any Magistrate.,Negligent conduct with respect to poisonous substance.
287,Cognizable,Bailable,Any Magistrate,yes,C o g n izable.,Bailable.,Any Magistrate.,Negligent conduct with respect to fire or combustible matter.
288,Cognizable,Bailable,Any Magistrate,yes,C o gnizable.,Bailable.,Any Magistrate.,Negligent conduct with respect to explosive substance.
289,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Negligent conduct with respect to machinery.
290,Non-cognizable,Bailable,Any Magistrate,yes,N on- cognizable.,Bailable.,Any Magistrate.,"Negligent conduct with respect to pulling down, repairing or constructing buildings, etc."
291,Cognizable,Bailable,Any Magistrate,yes,C o g n izable.,Bailable.,Any Magistrate.,Negligent conduct with respect to animal.
292,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,Committing public nuisance in cases not otherwise provided for.
293,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,Continuance of nuisance after injunction to discontinue.
294,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,"Sale, etc., of obscene books, etc."
295,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,"Sale, etc., of obscene objects to child."
296,Cognizable,Bailable,Any Magistrate,yes,C o g n i zable.,Bailable.,Any Magistrate.,Obscene acts and songs.
297,Non-cognizable,Bailable,Any Magistrate,yes,N o n- cognizable.,Bailable.,Any Magistrate.,Keeping a lottery office.
298,Cognizable,Non-bailable,Any Magistrate,yes,C o g n izable.,Non-bailable.,Any Magistrate.,"Defiling, etc., place of worship, with intent to insult the religion of any class."
299,Cognizable,Non-bailable,Magistrate of the first class,yes,C o g nizable.,Non-bailable.,Magistrate of the first class.,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religiou"
300,Cognizable,Bailable,Any Magistrate,yes,C o g n izable.,Bailable.,Any Magistrate.,Disturbing religious assembly.
301,Cognizable,Bailable,Any Magistrate,yes,C o g nizable.,Bailable.,Any Magistrate.,"Trespassing on burial places, etc."
302,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,"Uttering words, etc., with deliberate intent to wound religious feelings."
303,,,Any Magistrate,no,Cognizable. Non- cognizable.,Non-bailable. Bailable.,Any Magistrate. Any Magistrate.,"Theft. Where value of property is less than 5,000 rupees."
304,Cognizable,Non-bailable,Any Magistrate,yes,C o g nizable.,Non-bailable.,Any Magistrate.,Snatching.
305,Cognizable,Non-bailable,Any Magistrate,yes,C o g n i z able.,Non-bailable.,Any Magistrate.,"Theft in a dwelling house, or means of transportation or place of worship, etc."
306,Cognizable,Non-bailable,Any Magistrate,yes,C o g nizable.,Non-bailable.,Any Magistrate.,Theft by clerk or servant of property in possession of master or employer.
308,Cognizable,Non-bailable,Magistrate of the first class,yes,C o gnizable.,Non-bailable.,Magistrate of the first class.,Extortion.
309,Cognizable,Non-bailable,Magistrate of the first class,yes,Cognizable. Cognizable.,Non-bailable. Non-bailable.,Magistrate of the first class. Magistrate of the first class.,Robbery. If robbery committed on highway between sunset and sunrise.
310,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Dacoity.
311,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Robbery or dacoity, with attempt to cause death or grievous hurt."
312,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Attempt to commit robbery or dacoity when armed with deadly weapon.
313,Cognizable,Non-bailable,Magistrate of the first class,yes,Cognizable.,Non-bailable.,Magistrate of the first class.,Belonging to a wandering gang of persons associated for the purpose of habitually committing thefts.
314,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,"Dishonest misappropriation of movable property, or converting it to one's own use."
315,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n - cognizable. N o n - cognizable.,Bailable. Bailable.,Magistrate of the first class. Magistrate of the first class.,Dishonest misappropriation of property possessed by deceased person at the time of his death. If by clerk or person empl
316,Cognizable,Non-bailable,Magistrate of the first class,yes,C o g n izable.,Non-bailable.,Magistrate of the first class.,Criminal breach of trust.
317,Cognizable,Non-bailable,Any Magistrate,yes,C o g n i z able.,Non-bailable.,Any Magistrate.,Dishonestly receiving stolen property knowing it to be stolen.
318,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Cheating.
319,Cognizable,Bailable,Any Magistrate,yes,C o g nizable,Bailable.,Any Magistrate.,Cheating by personation.
320,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,"Fraudulent removal or concealment of property, etc., to prevent distribution among creditors."
321,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Dishonest or fraudulently preventing from being made available for his creditors a debt or demand due to the offender.
322,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Dishonest or fraudulent execution of deed of transfer containing a false statement of consideration.
323,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,"Fraudulent removal or concealment of property, of himself or any other person or assisting in the doing thereof, or dish"
324,Non-cognizable,Bailable,Any Magistrate,yes,N on- cognizable.,Bailable.,Any Magistrate.,Mischief.
325,,,,no,C o g n i zable. C ognizable. C o g n i zable. C o gnizable. Cognizable. N o n -,Bailable. Bailable. Bailable. Bailable. Bailable. Bailable. Bailable. Non-bailab,Magistrate of the first class. Magistrate of the first class. Magistrate of the ,"Mischief by killing or maiming animal. Mischief by causing diminution of supply of water for agricultural purposes, etc."
327,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Mischief with intent to destroy or make unsafe a decked vessel or a vessel of 20 tonnes burden.
328,Cognizable,Non-bailable,Court of Session,yes,C o g n i zable.,Non-bailable.,Court of Session.,"Running vessel with intent to commit theft, etc."
329,Cognizable,Bailable,Any Magistrate,yes,C o g nizable.,Bailable.,Any Magistrate.,Criminal trespass.
331,Cognizable,Non-bailable,Any Magistrate,yes,C o g n izable.,Non-bailable.,Any Magistrate.,Lurking house-trespass or house-breaking.
333,Cognizable,Non-bailable,Any Magistrate,yes,C ognizable.,Non-bailable.,Any Magistrate.,"House-trespass, having made preparation for causing hurt, assault, etc."
334,Cognizable,Non-bailable,Any Magistrate,yes,C o g n i zable.,Non-bailable.,Any Magistrate.,Dishonestly breaking open or unfastening any closed receptacle containing or supposed to contain property.
336,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n - cognizable.,Bailable.,Magistrate of the first class.,Forgery.
337,Non-cognizable,Non-bailable,Magistrate of the first class,yes,N o n - cognizable.,Non-bailable.,Magistrate of the first class.,"Forgery of a record of a Court or of a Registrar of Births, etc., kept by a public servant."
338,,Non-bailable,Magistrate of the first class,no,Non- cognizable. Cognizable.,Non-bailable. Non-bailable.,Magistrate of the first class. Magistrate of the first class.,"Forgery of a valuable security, will, or authority to make or transfer any valuable security, or to receive any money, e"
339,,Bailable,Magistrate of the first class,no,C o g n i zable. Non- cognizable.,Bailable. Bailable.,Magistrate of the first class. Magistrate of the first class.,"Having possession of a document, knowing it to be forged, with intent to use it as genuine; if the document is one of th"
340,Cognizable,Bailable,Magistrate of the first class,yes,Cognizable.,Bailable.,Magistrate of the first class.,Using as genuine a forged document which is known to be forged.
341,Cognizable,Bailable,Magistrate of the first class,yes,Cognizable.,Bailable.,Magistrate of the first class.,"Making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable under section 338 or possessing"
342,Non-cognizable,Bailable,Magistrate of the first class,yes,Non- c ognizable.,Bailable.,Magistrate of the first class.,Counterfeiting a device or mark used for authenticating documents described in section 338 or possessing counterfeit mar
343,Non-cognizable,Non-bailable,Magistrate of the first class,yes,Non- c ognizable.,Non-bailable.,Magistrate of the first class.,"Fraudulently destroying or defacing, or attempting to destroy or deface, or secreting, a will, etc."
344,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n - cognizable.,Bailable.,Magistrate of the first class.,Falsification of accounts.
345,Non-cognizable,Bailable,Any Magistrate,yes,N o n- cognizable.,Bailable.,Any Magistrate.,Using a false property mark with intent to deceive or injure any person.
346,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,"Removing, destroying or defacing property mark with intent to cause injury."
347,Non-cognizable,Bailable,Any Magistrate,yes,N on- cognizable.,Bailable.,Any Magistrate.,"Counterfeiting a property mark used by another, with intent to cause damage or injury."
348,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n - cognizable.,Bailable.,Magistrate of the first class.,"Fraudulently making or having possession of any die, plate or other instrument for counterfeiting any public or private "
349,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Knowingly selling goods marked with a counterfeit property mark.
350,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,"Fraudulently making a false mark upon any package or receptacle containing goods, with intent to cause it to be believed"
351,Non-cognizable,Bailable,Any Magistrate,yes,N on- cognizable,Bailable,Any Magistrate.,Criminal intimidation.
352,Non-cognizable,Bailable,Any Magistrate,yes,N o n- cognizable.,Bailable.,Any Magistrate.,Insult intended to provoke breach of the peace.
353,Non-cognizable,Non-bailable,Any Magistrate,yes,N o n- cognizable.,Non-bailable.,Any Magistrate.,"False statement, rumour, etc., circulated with intent to cause mutiny or offence against the public peace."
354,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Act caused by inducing a person to believe that he will be rendered an object of Divine displeasure.
355,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,"Appearing in a public place, etc., in a state of intoxication, and causing annoyance to any person."
356,Non-cognizable,Bailable,,yes,Non- cognizable. Non- cognizable.,Bailable. Bailable.,Court of Session. Magistrate of the first class.,Defamation against the President or the Vice- President or the Governor of a State or Administrator of a Union territory
357,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable. Bailable or non-By bailable. 3 Non-bailable. Non-bailable. B,Bailable. what court Court of Session. Magistrate of Any Magistrate.] Police Nag,"Any Magistrate. triable. 4 the first class. Station……… Sanhita, 2023, I u/s from","Being bound to attend on or supply the wants of a person who is helpless from youth, unsoundness of mind or disease, and"
